date,company,email,state,status
2026-06-26,Contact Freaky's Smoke Shop & Tattoo V PLATTE,name@yoursite.com,Colorado,sent
2026-06-26,Contact Virginia Vapes & Tobacco,contact@virginiavapes.com,Virginia,sent
2026-06-26,Contact,support@thesmokedrop.com,California,sent
2026-06-26,Wisconsin vape shop fights to survive after state ,michael.beiermeister@tmj4.com,Wisconsin,sent
2026-06-26,General Sales / Support,info@flawlessvapeshop.com,California,sent
2026-06-26,legacy title,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Wisconsin,sent
2026-06-26,Contact HealthVape,contact@healthvape.com,Nevada,sent
2026-06-26,Smoke Shop Email List,connect@datacaptive.com,Pennsylvania,sent
2026-06-26,Report Potential Tobacco Product Violation,ctpcompliance@fda.hhs.gov,Pennsylvania,sent
2026-06-26,Contact Us,info@responsibletobacconv.com,Nevada,sent
2026-06-26,List Of Smoke shops in Alabama,support@gallerysmoke.com,Alabama,sent
2026-06-26,Licensing,ra-btftmisctax@pa.gov,Pennsylvania,sent
2026-06-26,Contact Us,info@thevapeshop.com,Maryland,sent
2026-06-26,Vapor Products and the Law FAQ,jonnita.thompson@lcb.wa.gov,Washington,sent
2026-06-26,Kings of Vapor and Smoke,info@kingsofvapor.com,Ohio,sent
2026-06-26,Home : Arkansas Department of Health Office of Hea,adh.tpcp@arkansas.gov,Arkansas,sent
2026-06-26,List Of Tobacco shops in Florida,info@luckycigar.com,Florida,sent
2026-06-26,Contact Us : Who We Are,alexandria.spann@lung.org,Arkansas,sent
2026-06-26,Vape Central Group,support@vapecentralgroup.com,Florida,sent
2026-06-26,Contact Us,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Ohio,sent
2026-06-26,List Of Smoke shops in South Carolina,squidsvapeshop@gmail.com,South Carolina,sent
2026-06-26,Tobacco and Vape Shops Minnesota Clean Indoor Air ,health.indoorair@state.mn.us,Minnesota,sent
2026-06-26,List Of Tobacco shops in Virginia,customercare@milantobacco.com,Virginia,sent
2026-06-26,Blaine man charged with tobacco,tax.fraud@state.mn.us,Minnesota,sent
2026-06-26,Contact Us,arizona@vypevapor.com,Arizona,sent
2026-06-26,CONTACT,leveluphookahinfo@gmail.com,Indiana,sent
2026-06-26,Contact Information,trojansmokeshop1@gmail.com,California,sent
2026-06-26,Contact Us,cs@smokerolla.com,California,sent
2026-06-26,Contact Us,management@vaporauthority.com,California,sent
2026-06-26,Contact Us,vegas@vypevapor.com,Nevada,sent
2026-06-26,Famous Smoke Shop Company Overview ...,flast@famous-smoke.com,Pennsylvania,sent
2026-06-26,AIO Smoke & Vape,aiosmoke@gmail.com,Virginia,sent
2026-06-26,The Vapor Studio Austin Texas: The Vapor Studio Au,thevaporstudio@gmail.com,Texas,sent
2026-06-26,A's Smoke & Vape,asmokeandvape@gmail.com,Iowa,sent
2026-06-26,Fort Dodge Smoke & Vape,ftdodgetobacco@gmail.com,Iowa,sent
2026-06-26,"Phone, Email, Address",smokecentralaz@gmail.com,Arizona,sent
2026-06-26,The Best Tobacco Shops in Alabama Worth Checking O,smoketime.y@gmail.com,Alabama,sent
2026-06-26,Contact,smokekingoutlet@gmail.com,Maryland,sent
2026-06-26,Contact,orlandovapeandsmoke@gmail.com,Florida,sent
2026-06-26,Contact Us,allstarsmoke1@gmail.com,Florida,sent
2026-06-26,South Carolina: Smoke shops busted for selling cou,sales@wyff4.com,North Carolina,sent
2026-06-26,N A Smoke Shop INC,info@mylifegb.com,North Carolina,sent
2026-06-26,Old Virginia Tobacco Company,info@ovtc.com,Virginia,sent
2026-06-26,Smoke and Vape Shops,sales@texaspartnersinsurance.com,Texas,sent
2026-06-26,OnlyClouds Smoke Shop,support@onlyclouds.club,Texas,sent
2026-06-26,State Reporting List,info@parentsagainstvaping.org,Iowa,sent
2026-06-26,Contact Us,support@vaping.com,Arizona,sent
2026-06-26,Smoke & Vape Shop Indianapolis,info@highergradestore.com,Indiana,sent
2026-06-26,Indy E Cigs,info@indyecigs.com,Indiana,sent
2026-06-26,Contact Us,support@vaping.com,Indiana,sent
2026-06-26,Maryland Responsible Tobacco Retailer Program,mdh.notobaccosalestominors@maryland.gov,Maryland,sent
2026-06-26,elf bar vape uk SMOKE CITY VAPE & WELLNESS,info@ambientech.org,Ohio,sent
2026-06-26,Contact Us,support@vaping.com,Ohio,sent
2026-06-26,Vape Stores in Roxborough,support@ecigsinternational.com,Pennsylvania,sent
2026-06-26,Vape & Smoke Shop profiles,support@finalscout.com,Florida,sent
2026-06-26,Tobacco,alehq.headquarters@ncdps.gov,North Carolina,sent
2026-06-26,Tobacco Retailer Information,tobaccotax@dor.sc.gov,South Carolina,sent
2026-06-26,Tobacco Enforcement,tobacco.free@dshs.texas.gov,Texas,sent
2026-06-26,How to Report Tobacco Law Violations,tobacco.enforcement@cpa.texas.gov,Texas,sent
2026-06-26,License Administration,eastiowastores@gmail.com,Iowa,sent
2026-06-26,Cigarette & Tobacco,idrcigarette@iowa.gov,Iowa,sent
2026-06-26,"The Vapor Emporium: Smoke, Vape & E",thevaporemporium@aol.com,Maryland,sent
2026-06-26,Contact Us,sfncontact@gmail.com,Maryland,sent
2026-06-26,Vapor Products,excisecigarette@tax.ohio.gov,Ohio,sent
2026-06-26,Report a Youth Sales Violation,tobaccocontrol@phmc.org,Pennsylvania,sent
2026-06-26,Missouri Tobacco Directory,dor.tobacco@dor.mo.gov,Missouri,sent
2026-06-26,"Vape Shop & Tobacco Store in Columbia, SC",alisaleemgz@gmail.com,South Carolina,sent
2026-06-26,Office of Hemp Enforcement Registrations,altamcompaniesva@gmail.com,Virginia,sent
2026-06-26,OneLove Arcadia Smoke Shop: Smoke Shop & Vape Deli,onelovearcadia@gmail.com,Arizona,sent
2026-06-26,Contact,cloudslingers2@gmail.com,Arizona,sent
2026-06-26,Contact Us,jonpinhorn.typedesign@gmail.com,Indiana,sent
2026-06-26,Tobacco Station,mountaingrovechamber@gmail.com,Missouri,sent
2026-06-26,Vape Shop Email & Phone Number,p@gmail.com,Florida,sent
2026-06-26,ATC: E,jrosalesmejia@atc.in.gov,Indiana,sent
2026-06-26,OG VAPE SHOP 011573245,abcboardal--administrator@abc.alabama.gov,Alabama,sent
2026-06-26,Baltimore City cracks down on illegal smoke shops,fccinfo@fcc.gov.how,Maryland,sent
2026-06-26,ALE Investigation Leads to Store Owner Arrested,william.happoldt@ncdps.gov,North Carolina,sent
2026-06-26,A Comparison of Three Policy Approaches for Tobacc,aemyers@live.unc.edu,North Carolina,sent
2026-06-26,"ITG Brands, LLC – ITG Brands website",customerrelations@itgbrands.com,North Carolina,sent
2026-06-26,High Life Smoke Shop,heather@fivepointscolumbia.com,South Carolina,sent
2026-06-26,Get Weird Smoke Shop,user@domain.com,South Carolina,sent
2026-06-26,Smoke shop in former bar space among latest change,mfitts@postandcourier.com,South Carolina,sent
2026-06-26,Liquid Nicotine & Nicotine Vape Product Directory,lvnvpcomplianceunit@oag.state.va.us,Virginia,sent
2026-06-26,Texas smoke shops rush to clear shelves before Tue,publicfile@kbtx.com,Texas,sent
2026-06-26,Cigarette License for Hawkeye Smoke Shop,iapledge@iowaabd.com,Iowa,sent
2026-06-26,The Habit Smoke Shop,user@domain.com,Arizona,sent
2026-06-26,Smoke Shop Email List,connect@datacaptive.com,California,sent
2026-06-26,Contact Us,flags@2x.png,Nevada,sent
2026-06-26,SMOKE SHOP AND/OR SMOKE LOUNGE,license@lasvegasnevada.gov,Nevada,sent
2026-06-26,Tobacco Retailers,gethealthy@snhd.org,Nevada,sent
2026-06-26,Welcome to Dragon Smoke Vape Shop,flags@2x.png,Alabama,sent
2026-06-26,Vape Store Regulation,%20ndennis@alabamaretail.org,Alabama,sent
2026-06-26,Tobacco and Nicotine,nicotine@abc.alabama,Alabama,sent
2026-06-26,Contact Us,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Ohio,sent
2026-06-26,Tobacco and Vape Shop Opens,help@barnesvillenews.org,Ohio,sent
2026-06-26,Smoke Shop Email List,connect@datacaptive.com,Pennsylvania,sent
2026-06-26,Report Potential Tobacco Product Violation,ctpcompliance@fda.hhs.gov,Pennsylvania,sent
2026-06-26,Licensing,ra-btftmisctax@pa.gov,Pennsylvania,sent
2026-06-26,We B Smokin: Your Go,astigma@astigmatic.com,Missouri,sent
2026-06-26,ATC Tobacco and Vaping Enforcement Program,christin.templeton@dps.mo.gov,Missouri,sent
2026-06-26,"Wild Bill's of Raymore, Missouri",red@2x.png,Missouri,sent
2026-06-26,Tobacco Station helps to meet supply demand in Mou,ads2@wrightcountyjournal.comnews,Missouri,sent
